id;temp;prod;area.voronoi.miles;area.ppa.miles;cliff;slope
Pau 01 ;2014;2;0.639922274;0.001;1;14.1720234
Pau 01 ;2016;0;0.639922274;0.001;1;14.1720234
Pau 04 ;2014;2;11.72478087;5.299287479;1;9.875009848
Pau 04;2016;0;11.72478087;5.299287479;1;9.875009848
Pau 04;2017;1;8.693564422;5.299287479;1;9.875009848
Pau 04;2018;0;8.693564347;5.299287479;1;9.875009848
Pau 04;2019;2;8.693564347;5.299287479;1;9.875009848
Pau 05 ;2014;1;7.089387911;6.35930712;0;19.03249186
Pau 05;2016;1;6.534743874;6.35930712;0;19.03249186
Pau 05;2018;0;24.97967391;6.35930712;0;19.03249186
Pau 05;2019;0;24.97967391;6.35930712;0;19.03249186
Pau 08;2014;1;23.69898521;6.073577199;0;11.17718725
Pau 08;2016;2;23.69898522;6.073577199;0;11.17718725
Pau 08;2018;1;11.12874028;6.073577199;0;11.17718725
Pau 08;2019;2;11.12874025;6.073577199;0;11.17718725
Pau 09;2014;3;28.39615794;8.183993282;0;8.918828764
Pau 09;2016;3;5.781645099;8.183993282;0;8.918828764
Pau 09;2017;3;9.304923304;8.183993282;0;8.918828764
Pau 09;2018;2;5.781645099;8.183993282;0;8.918828764
Pau 09;2019;2;10.60713716;8.183993282;0;8.918828764
Pau 09;2020;1;;8.183993282;0;8.918828764
Pau 10;2014;1;16.7450277;10.63122931;0;7.700265565
Pau 10;2016;2;14.35577038;10.63122931;0;7.700265565
Pau 10;2017;2;0.799908124;10.63122931;0;7.700265565
Pau 10;2018;1;14.35577038;10.63122931;0;7.700265565
Pau 10;2019;1;16.74502761;10.63122931;0;7.700265565
Pau 11;2014;0;0.001;1.39082163;0;25.65410064
Pau 13;2014;0;1.540207537;4.218463091;0;27.13006105
Pau 13;2016;2;1.540207537;4.218463091;0;27.13006105
Pau 13;2017;0;1.540207537;4.218463091;0;27.13006105
Pau 13;2018;1;1.540207549;4.218463091;0;27.13006105
Pau 13;2019;2;5.430397313;4.218463091;0;27.13006105
Pau 13;2020;2;;4.218463091;0;27.13006105
Pau 14;2014;0;3.890189776;4.06189415;0;22.07381838
Pau 14;2016;1;3.890189776;4.06189415;0;22.07381838
Pau 14;2017;0;3.890189776;4.06189415;0;22.07381838
Pau 14;2018;0;3.890189763;4.06189415;0;22.07381838
Pau 19;2014;2;9.35321122;5.411445524;1;22.96789278
Pau 20;2014;2;8.224054295;8.465451454;0;10.42702373
Pau 20;2016;1;8.224054295;8.465451454;0;10.42702373
Pau 20;2017;1;9.519507856;8.465451454;0;10.42702373
Pau 20;2019;1;;8.465451454;0;10.42702373
Pau 22;2016;2;9.491985586;8.729123861;0;10.48681015
Pau 22;2017;1;9.124582717;8.729123861;0;10.48681015
Pau 22;2018;1;8.36757989;8.729123861;0;10.48681015
Pau 22;2019;2;9.124582729;8.729123861;0;10.48681015
Pau 22;2020;1;;8.729123861;0;10.48681015
Pau 23;2016;2;7.540032443;6.530796252;0;8.710827571
Pau 23;2017;2;7.540032443;6.530796252;0;8.710827571
Pau 23;2018;0;7.540032443;6.530796252;0;8.710827571
Pau 23;2019;1;5.926285179;6.530796252;0;8.710827571
Pau 27;2016;2;7.97175213;7.661707427;0;6.168086614
Pau 27;2018;1;7.97175213;7.661707427;0;6.168086614
Pau 29;2017;2;23.48006087;12.75854617;0;4.386954438
Pau 32;2017;3;3.03121645;4.063927633;0;21.79268356
Pau 32;2018;2;3.358118314;4.063927633;0;21.79268356
Pau 33;2017;1;0.07873524;0.001;1;4.233997622
Pau 34;2017;2;3.409196152;2.052179213;0;22.74799101
Pau 35;2017;2;18.51192816;6.411334399;1;28.01287739
Pau 35;2018;2;13.69465063;6.411334399;1;28.01287739
Pau 37;2019;0;1.613747264;3.281561068;0;24.54181091
