temp;nest;male;brood.size;brood.reduction
2014;pau05;1;1;0
2014;pau10;0;1;1
2014;pau08;0;1;0
2014;pau01;0;2;0
2014;pau04;0;2;1
2014;pau04;1;2;1
2014;pau19;0;2;1
2014;pau19;0;2;1
2014;pau20;0;2;0
2014;pau20;0;2;0
2014;pau09;1;3;0
2014;pau09;1;3;0
2014;pau09;1;3;0
2016;pau05;1;1;1
2016;pau08;0;2;0
2016;pau10;1;2;0
2016;pau10;0;2;0
2016;pau23;0;2;0
2016;pau23;0;2;0
2016;pau27;0;2;0
2016;pau27;0;2;0
2016;pau09;1;3;0
2016;pau09;1;3;0
2017;pau04;1;1;1
2017;pau22;0;1;1
2017;pau33;0;1;1
2017;pau34;1;2;0
2017;pau34;0;2;0
2017;pau10;1;2;0
2017;pau10;0;2;0
2017;pau23;1;2;1
2017;pau23;1;2;1
2017;pau29;0;2;0
2017;pau29;0;2;0
2017;pau35;1;2;0
2017;pau35;0;2;0
2017;pau09;1;3;0
2017;pau09;1;3;0
2017;pau09;0;3;0
2017;pau32;1;3;0
2017;pau32;1;3;0
2017;pau32;1;3;0
2018;pau08;0;1;0
2018;pau10;0;1;0
2018;pau13;0;1;0
2018;pau22;1;1;1
2018;pau27;0;1;1
2018;pau09;1;2;0
2018;pau09;0;2;0
2018;pau32;1;2;0
2018;pau32;0;2;0
2018;pau35;0;2;0
2018;pau35;0;2;0
2019;pau22;1;2;0
2019;pau22;0;2;0
2019;pau13;0;2;0
2019;pau13;1;2;0
2019;pau04;0;2;1
2019;pau04;0;2;1
2019;pau20;0;1;1
2019;pau10;1;1;1
2019;pau09;1;2;1
2019;pau09;1;2;1
2019;pau08;1;2;0
2019;pau08;1;2;0
