Region.Label;Area;Sample.Label;Effort;distance;size;age
Franklin;4035150;1;2950;242.0677479;1;ad
Franklin;4035150;1;2950;180.8097872;1;ad
Franklin;4035150;1;2950;138.5910478;1;ad
Franklin;4035150;1;2950;138.5910478;1;ad
Franklin;4035150;1;2950;138.5910478;1;juv
Franklin;4035150;1;2950;135.8874929;1;ad
Franklin;4035150;1;2950;133.3842693;1;ad
Franklin;4035150;1;2950;131.5614159;1;inm
Franklin;4035150;1;2950;131.5614159;1;juv
Franklin;4035150;1;2950;116.9887615;1;juv
Franklin;4035150;1;2950;114.1181563;1;ad
Franklin;4035150;1;2950;111.8495085;1;ad
Franklin;4035150;1;2950;111.6162852;1;plancus
Franklin;4035150;1;2950;111.6162852;1;plancus
Franklin;4035150;1;2950;108.5788579;1;ad
Franklin;4035150;1;2950;107.2795996;1;juv
Franklin;4035150;1;2950;101.2575194;1;ad
Franklin;4035150;1;2950;97.44563633;1;plancus
Franklin;4035150;1;2950;96.4913532;1;plancus
Franklin;4035150;1;2950;87.80985569;1;ad
Franklin;4035150;1;2950;87.80985569;1;ad
Franklin;4035150;1;2950;80.45969972;1;inm
Franklin;4035150;1;2950;76.68740106;1;plancus
Franklin;4035150;1;2950;73.30772642;1;ad
Franklin;4035150;1;2950;68.21746196;1;ad
Franklin;4035150;1;2950;64.98408627;1;juv
Franklin;4035150;1;2950;61.25796069;1;juv
Franklin;4035150;1;2950;59.60905284;1;juv
Franklin;4035150;1;2950;59.60905284;1;inm
Franklin;4035150;1;2950;56.22833713;1;juv
Franklin;4035150;1;2950;52.70930523;1;ad
Franklin;4035150;1;2950;52.36567608;1;juv
Franklin;4035150;1;2950;52.36567608;1;juv
Franklin;4035150;1;2950;52.36567608;1;juv
Franklin;4035150;1;2950;52.36567608;1;inm
Franklin;4035150;1;2950;51.81010301;1;ad
Franklin;4035150;1;2950;48.75511294;1;plancus
Franklin;4035150;1;2950;34.25461356;1;ad
Franklin;4035150;1;2950;34.13878956;1;ad
Franklin;4035150;1;2950;34.03614098;1;ad
Franklin;4035150;1;2950;23.1656072;1;ad
Franklin;4035150;1;2950;21.79277291;1;plancus
Franklin;4035150;1;2950;20.24869629;1;juv
Franklin;4035150;1;2950;19.19100376;1;ad
Franklin;4035150;1;2950;18.31891972;1;ad
Franklin;4035150;1;2950;17.40867555;1;juv
Franklin;4035150;1;2950;16.98593661;1;ad
Franklin;4035150;1;2950;16.51104094;1;ad
Franklin;4035150;1;2950;14.9664277;1;juv
Franklin;4035150;1;2950;13.55782274;1;inm
Franklin;4035150;1;2950;12.3252934;1;ad
Franklin;4035150;1;2950;12.3252934;1;ad
Franklin;4035150;1;2950;10.23261929;1;ad
Franklin;4035150;1;2950;9.095115474;1;ad
Franklin;4035150;1;2950;8.045969972;1;plancus
Franklin;4035150;1;2950;4.96944327;1;juv
Franklin;4035150;1;2950;3.975554616;1;juv
Franklin;4035150;1;2950;0;1;juv
Franklin;4035150;1;2950;0;1;inm
