id;temp;lat;lon;utmx;utmy;utmxcor;utmycor
Pau 01 ;2014;-54.8834;-64.6464;394381.9;3916942.2;2381.9;42.2
Pau 34;2017;-54.8829;-64.6492;394201;3916993.6;2201;93.6
Pau 07;2014;-54.8808;-64.6588;393579.7;3917212.7;1579.7;312.7
Pau 05 ;2014;-54.8806;-64.6502;394130.8;3917248;2130.8;348
Pau 20;2014;-54.8805;-64.6461;394393.6;3917265.3;2393.6;365.3
Pau 28;2016;-54.8793;-64.659;393562.9;3917379.3;1562.9;479.3
Pau 19;2014;-54.8778;-64.6512;394059.3;3917558;2059.3;658
Pau 11;2014;-54.8743;-64.6698;392856.8;3917919.1;856.8;1019.1
Pau 32;2017;-54.8743;-64.6605;393453.5;3917933.3;1453.5;1033.3
Pau 12;2014;-54.874;-64.6703;392823.9;3917951.7;823.9;1051.7
Pau 13;2014;-54.8738;-64.6699;392849;3917974.6;849;1074.6
Pau 13 B;2016;-54.8735;-64.6701;392835.4;3918007.7;835.4;1107.7
Pau 04 ;2014;-54.8733;-64.6599;393489.3;3918045.5;1489.3;1145.5
Pau 04 B;2016;-54.8732;-64.6598;393495.5;3918056.7;1495.5;1156.7
Pau 04 C;2017;-54.8731;-64.6611;393411.8;3918065.9;1411.8;1165.9
Pau 14;2014;-54.8726;-64.6711;392768.9;3918106.3;768.9;1206.3
Pau 22;2016;-54.8619;-64.6734;392592.9;3918158.4;592.9;1258.4
Pau 14 B;2016;-54.8721;-64.671;392774;3918162;774;1262
Pau 15;2014;-54.8668;-64.6719;392702.1;3918750.3;702.1;1850.3
Pau 17;2014;-54.8653;-64.6753;392480;3918912;480;2012
Pau 23;2016;-54.8651;-64.6709;392761.8;3918941;761.8;2041
Pau 16;2014;-54.8649;-64.6756;392459.6;3918956.1;459.6;2056.1
Pau 09;2014;-54.8626;-64.6748;392504.9;3919213.2;504.9;2313.2
Pau 10 B;2016;-54.8608;-64.6822;392025.1;3919402.1;25.1;2502.1
Pau 10;2014;-54.8607;-64.682;392037.7;3919413.5;37.7;2513.5
Pau 29;2017;-54.8606;-64.6814;392076;3919425.6;76;2525.6
Pau 27;2016;-54.8605;-64.6778;392306.7;3919442.2;306.7;2542.2
Pau 08 B;2016;-54.8572;-64.6791;392214.5;3919807.4;214.5;2907.4
Pau 08;2014;-54.8566;-64.6782;392270.7;3919875.5;270.7;2975.5
Pau 35;2017;-54.8554;-64.6703;392774.6;3920021.2;774.6;3121.2
Pau 33;2017;-54.8505;-64.6673;392954.2;3920570.9;954.2;3670.9
