id;temp;lat;lon;utmx;x;utmy;y;area.ppa.circulo;pendiente;orientacion;elevacion;prod_media
Pau 01 ;2014;-54.8834;-64.6464;394381.9;394451.8901;3916942.2;3916826.322;1;14.1720234;187.57;56.93877551;0.4
Pau 04 ;2014;-54.8733;-64.6599;393489.3;393559.2975;3918045.5;3917929.616;5299.287479;9.875009848;266.16;101.7058824;1
Pau 05 ;2014;-54.8806;-64.6502;394130.8;394200.7977;3917248;3917132.117;6359.30712;19.03249186;230.48;83;0.6
Pau 08;2014;-54.8566;-64.6782;392270.7;392340.6348;3919875.5;3919759.686;6073.577199;11.17718725;312.01;83.76595745;1.2
Pau 09;2014;-54.8626;-64.6748;392504.9;392574.833;3919213.2;3919097.346;8183.993282;8.918828764;234.38;91.98039216;2.6
Pau 10;2014;-54.8607;-64.682;392087.7;392107.677;3919413.5;3919297.668;10631.22931;7.700265565;252.23;62.66666667;1.4
Pau 11;2014;-54.8743;-64.6698;392856.8;392926.7575;3917969.1;3917803.256;1390.82163;25.65410064;234.17;38.58;0
Pau 12;2014;-54.874;-64.6703;392873.9;392893.8818;3917951.7;3917835.869;2546.569214;22.29646795;227.2;43.69387755;1.13
Pau 13;2014;-54.8738;-64.6699;392849;392919.0151;3918000.6;3917858.733;4218.463091;27.13006105;210.36;42.91666667;1
Pau 14;2014;-54.8726;-64.6711;392768.9;392838.8372;3918106.3;3917990.41;4061.89415;22.07381838;219.71;60.96;0.2
Pau 15;2014;-54.8668;-64.6719;392702.1;392772.1031;3918750.3;3918634.497;5167;23.65472216;218.01;65.47058824;
Pau 19;2014;-54.8778;-64.6512;394059.3;394129.3028;3917558;3917442.136;5411.445524;22.96789278;177.82;133.375;2
Pau 20;2014;-54.8805;-64.6461;394393.6;394463.549;3917265.3;3917149.433;8465.451454;10.42702373;176.74;117.0961538;1
Pau 22;2016;-54.8619;-64.6734;392592.9;392662.8213;3919293.2;3919177.375;8729.123861;10.48681015;231.23;110.7692308;1.5
Pau 23;2016;-54.8651;-64.6709;392761.8;392831.762;3918941;3918825.172;6530.796252;8.710827571;231.07;93.58823529;1.25
Pau 27;2016;-54.8605;-64.6778;392306.7;392376.7031;3919442.2;3919326.385;7661.707427;6.168086614;235.47;87.51020408;0.75
Pau 28;2016;-54.8793;-64.659;393562.9;393632.8565;3917379.3;3917263.418;882.3396711;29.60246918;281.76;87.7;1.13
Pau 29;2017;-54.8606;-64.6814;392116;392145.9183;3919425.6;3919309.718;12758.54617;4.386954438;260.12;70.25490196;2
Pau 32;2017;-54.8743;-64.6605;393453.5;393523.4389;3917933.3;3917817.443;4063.927633;21.79268356;177.4;70.53846154;2.5
Pau 33;2017;-54.8505;-64.6673;392870.2;393024.1231;3920570.9;3920455.083;1;4.233997622;231.57;67.94117647;0.5
Pau 34;2017;-54.8829;-64.6492;394201;394270.9739;3916993.6;3916877.727;2052.179213;22.74799101;259.08;60.78846154;0.666666667
Pau 35;2017;-54.8554;-64.6703;392774.6;392844.531;3920021.2;3919905.318;6411.334399;28.01287739;292.47;211.7307692;2
Pau 37;2019;-54.865425;-64.674105;392557;392626.9491;3918900;3918784.101;3281.561068;24.54181091;244.3314;56.95918367;0
